open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1594123200000,237.58000000,238.16000000,236.92000000,237.68000000,22627.84464000,1594126799999,5375146.11613720,8702,9634.19989000,2289126.22062580,0
1594126800000,237.68000000,237.83000000,236.45000000,237.37000000,22919.43621000,1594130399999,5431419.42420850,8326,10456.79370000,2477992.98413310,0
1594130400000,237.39000000,239.61000000,236.77000000,237.20000000,56615.59701000,1594133999999,13497375.02582720,15053,26517.77646000,6321442.51531910,0
1594134000000,237.21000000,238.87000000,237.01000000,238.82000000,25898.22931000,1594137599999,6165433.00414210,8382,14739.84205000,3508576.48476460,0
1594137600000,238.81000000,239.65000000,238.00000000,238.42000000,27691.96633000,1594141199999,6615078.81109590,9013,14486.93855000,3460977.12092970,0
1594141200000,238.42000000,240.24000000,238.19000000,239.87000000,19892.29942000,1594144799999,4760595.06928550,7858,10366.72621000,2481400.35934790,0
1594144800000,239.87000000,239.95000000,238.24000000,238.90000000,13262.34304000,1594148399999,3168935.08257690,6269,5866.85916000,1401869.32691830,0
1594148400000,238.90000000,238.94000000,237.66000000,237.98000000,11389.73545000,1594151999999,2714543.88964430,5608,5678.99928000,1353608.26216340,0
1594152000000,237.98000000,238.51000000,236.58000000,238.49000000,24130.58438000,1594155599999,5729002.23724110,8836,11431.46157000,2714777.85920840,0
1594155600000,238.49000000,238.90000000,237.17000000,238.13000000,13973.62992000,1594159199999,3327291.30704250,6236,8472.94410000,2017762.39576360,0
1594159200000,238.16000000,239.00000000,237.80000000,238.93000000,15342.05541000,1594162799999,3658737.10244540,5861,9021.61135000,2151861.19682900,0
1594162800000,238.92000000,239.86000000,238.36000000,239.39000000,18448.02358000,1594166399999,4410778.38786160,8364,9449.61016000,2259741.41495490,0
1594166400000,239.39000000,239.66000000,237.78000000,238.46000000,22333.50388000,1594169999999,5327578.77542320,8480,10536.14598000,2513905.04268040,0
1594170000000,238.47000000,240.13000000,238.31000000,240.12000000,37584.30931000,1594173599999,8994936.04483360,11049,17586.67945000,4208909.99571030,0
1594173600000,240.13000000,242.28000000,240.12000000,241.47000000,50633.30389000,1594177199999,12214494.30395700,15370,23694.80452000,5717119.00522310,0
1594177200000,241.47000000,242.24000000,240.75000000,241.90000000,36051.35776000,1594180799999,8706668.56482670,12676,16440.39853000,3971191.91403150,0
1594180800000,241.91000000,242.66000000,238.28000000,239.20000000,58665.55543000,1594184399999,14102560.29093280,18149,27122.88300000,6516682.40625600,0
1594184400000,239.18000000,239.77000000,238.23000000,239.19000000,25651.65172000,1594187999999,6132928.94763550,9594,14236.09609000,3403796.38419210,0
1594188000000,239.19000000,240.25000000,239.13000000,239.99000000,16661.53803000,1594191599999,3995774.79130010,8193,8758.53676000,2100561.12034750,0
1594191600000,239.99000000,241.60000000,239.47000000,240.76000000,35187.06879000,1594195199999,8471818.49597050,11849,17668.24412000,4254741.88987120,0
1594195200000,240.76000000,241.55000000,240.11000000,240.76000000,25039.20796000,1594198799999,6030057.26175850,9896,13138.95647000,3164399.81728910,0
1594198800000,240.78000000,241.66000000,240.25000000,241.09000000,26613.95547000,1594202399999,6411246.77048320,10115,13776.87165000,3319433.04319160,0
1594202400000,241.10000000,244.27000000,241.09000000,243.60000000,59031.53881000,1594205999999,14317866.58012920,17885,31120.44508000,7547787.63964580,0
1594206000000,243.60000000,244.60000000,242.48000000,244.07000000,51011.60836000,1594209599999,12424684.98690120,15407,26729.72761000,6509973.66327000,0
1594209600000,244.07000000,244.70000000,241.28000000,242.06000000,59565.49548000,1594213199999,14453172.16215520,18031,25168.63063000,6107286.92145930,0
1594213200000,242.06000000,246.90000000,242.00000000,246.32000000,91679.67277000,1594216799999,22433044.55168370,24017,50195.42029000,12279051.73027740,0
1594216800000,246.33000000,247.63000000,245.05000000,245.63000000,67444.53205000,1594220399999,16618540.54936740,20814,33663.65038000,8295395.01500200,0
1594220400000,245.64000000,246.47000000,244.72000000,245.73000000,29279.96595000,1594223999999,7193905.87639490,11126,15206.37488000,3736982.52704580,0
1594224000000,245.73000000,246.86000000,245.00000000,245.54000000,36342.41980000,1594227599999,8938707.60650560,12499,18462.92314000,4541412.18226510,0
1594227600000,245.54000000,246.83000000,245.00000000,246.82000000,21282.78089000,1594231199999,5232818.08825330,8045,10614.57276000,2610570.31530990,0
1594231200000,246.83000000,247.26000000,246.00000000,246.52000000,33651.84035000,1594234799999,8299357.82627520,9715,17323.55831000,4273571.62627950,0
1594234800000,246.52000000,248.80000000,246.48000000,248.56000000,48375.78640000,1594238399999,11993478.44527630,13586,26247.72259000,6507682.87025270,0
1594238400000,248.60000000,248.88000000,245.69000000,246.31000000,61449.33908000,1594241999999,15191576.64028800,16807,20500.83035000,5068506.08289340,0
1594242000000,246.31000000,247.86000000,246.05000000,247.54000000,20509.19689000,1594245599999,5067041.64416550,9010,11287.50518000,2788688.09596770,0
1594245600000,247.53000000,248.33000000,246.75000000,247.29000000,22542.36579000,1594249199999,5579053.43860730,8934,12952.89432000,3206408.52874630,0
1594249200000,247.29000000,247.29000000,246.02000000,246.95000000,21597.84222000,1594252799999,5329388.11205750,8335,10345.44764000,2553081.91439130,0
1594252800000,246.94000000,247.03000000,244.80000000,245.68000000,30428.23661000,1594256399999,7477470.24790700,11919,13159.77653000,3234691.04629850,0
